local_memory,step1,step2,step3,step4,step5,step6,step7,step8,step9,total
1,3.305,7.438,8.296,3.495,13.928,15.743,4.150,9.981,9.510,75.844
3,3.271,7.704,8.381,3.709,14.122,12.767,3.431,8.809,9.553,71.747
5,3.303,7.705,8.290,2.294,14.093,12.232,3.372,8.415,9.704,69.408
7,3.281,7.684,9.121,2.422,13.989,10.473,3.164,8.481,9.576,68.191
9,3.434,7.678,8.654,2.266,13.962,10.247,3.224,8.720,9.548,67.733
11,3.250,7.542,8.113,2.267,13.707,11.929,3.458,8.916,9.405,68.586
13,3.277,7.758,9.105,2.247,14.005,10.122,3.405,9.053,9.734,68.706
15,3.227,7.728,8.283,2.193,13.926,10.015,3.133,9.095,9.131,66.730
17,3.245,7.749,10.070,2.217,13.947,9.691,3.136,9.068,9.580,68.702
19,3.245,7.820,8.350,2.002,14.983,9.647,3.150,8.743,9.522,67.460
21,3.205,7.776,8.412,1.990,14.066,9.502,3.044,11.147,9.524,68.666
23,3.271,7.740,9.098,2.029,14.052,9.531,3.024,9.066,9.502,67.313
25,3.240,7.769,8.362,1.993,14.009,9.523,3.023,9.093,9.500,66.512
27,3.274,7.825,8.347,1.905,13.991,9.504,3.025,8.734,9.576,66.182
29,3.241,7.750,8.332,1.993,14.005,9.530,3.032,9.046,9.556,66.486
31,3.240,7.763,8.339,1.898,14.032,9.504,3.050,9.035,9.535,66.397
